"BIRTHDATE","GENDER","ID","LASTNAME","NAME"
"1995-03-22","FEMININE","1","Johnson","Mary"
"1995-03-22","FEMININE","2","Johnson","Mary"
"1995-03-22","FEMININE","3","Johnson","Mary"
"1995-03-22","FEMININE","4","Johnson","Mary"
"1995-03-22","FEMININE","5","Johnson","Mary"
"1995-03-22","FEMININE","6","Johnson","Mary"
"1995-03-22","FEMININE","7","Johnson","Mary"
"1995-03-22","FEMININE","8","Johnson","Mary"
"1995-03-22","FEMININE","9","Johnson","Mary"
"1995-03-22","FEMININE","10","Johnson","Mary"
"1995-03-22","FEMININE","11","Johnson","Mary"
"1995-03-22","FEMININE","12","Johnson","Mary"
